zero guess, init one and orthonormalize it.
initializing a...
a size = 1000, 1000

LOBPCG iter starts with max_iter = 1000 and tolerance = 1e-06
----------------------------------------------------------------------
iter#       root         eigenvalues         residuals           converged  
7           10           12.0038             5.39913e-06         1          
7           11           13.0033             2.84935e-05         1          
7           12           14.0028             4.51956e-05         0          
7           13           15.0024             0.000309906         0          
7           14           16.0021             0.00019707          0          
7           15           17.0019             0.000811245         0          
7           16           18.0017             0.000801032         0          
7           17           19.0015             0.00147249          0          
7           18           20.0014             0.00292359          0          
7           19           21.0012             0.0056566           0          

8           0            1.8694              1.59512e-06         1          
8           1            3.00048             6.30683e-06         1          
8           2            4.01771             2.52446e-05         1          
8           3            5.01681             3.44291e-06         1          
8           4            6.01352             8.80137e-06         1          
8           5            7.01061             2.04753e-05         1          
8           6            8.00839             1.93465e-06         1          
8           7            9.00673             7.15391e-06         1          
8           8            10.0055             1.22246e-05         1          
8           9            11.0045             6.00871e-06         1          
8           10           12.0038             5.39913e-06         1          
8           11           13.0033             2.84935e-05         1          
8           12           14.0028             5.68878e-06         1          
8           13           15.0024             4.36167e-05         0          
8           14           16.0021             3.25118e-05         0          
8           15           17.0019             0.000132753         0          
8           16           18.0017             0.000145711         0          
8           17           19.0015             0.000270634         0          
8           18           20.0014             0.000645399         0          
8           19           21.0012             0.00138801          0          

9           0            1.8694              1.59512e-06         1          
9           1            3.00048             6.30683e-06         1          
9           2            4.01771             2.52446e-05         1          
9           3            5.01681             3.44291e-06         1          
9           4            6.01352             8.80137e-06         1          
9           5            7.01061             2.04753e-05         1          
9           6            8.00839             1.93465e-06         1          
9           7            9.00673             7.15391e-06         1          
9           8            10.0055             1.22246e-05         1          
9           9            11.0045             6.00871e-06         1          
9           10           12.0038             5.39913e-06         1          
9           11           13.0033             2.84935e-05         1          
9           12           14.0028             5.68878e-06         1          
9           13           15.0024             5.81471e-06         1          
9           14           16.0021             5.33847e-06         1          
9           15           17.0019             2.34e-05            1          
9           16           18.0017             3.10303e-05         1          
9           17           19.0015             5.3027e-05          0          
9           18           20.0014             0.000166718         0          
9           19           21.0012             0.000332562         0          

10          0            1.8694              1.59512e-06         1          
10          1            3.00048             6.30683e-06         1          
10          2            4.01771             2.52446e-05         1          
10          3            5.01681             3.44291e-06         1          
10          4            6.01352             8.80137e-06         1          
10          5            7.01061             2.04753e-05         1          
10          6            8.00839             1.93465e-06         1          
10          7            9.00673             7.15391e-06         1          
10          8            10.0055             1.22246e-05         1          
10          9            11.0045             6.00871e-06         1          
10          10           12.0038             5.39913e-06         1          
10          11           13.0033             2.84935e-05         1          
10          12           14.0028             5.68878e-06         1          
10          13           15.0024             5.81471e-06         1          
10          14           16.0021             5.33847e-06         1          
10          15           17.0019             2.34e-05            1          
10          16           18.0017             3.10303e-05         1          
10          17           19.0015             1.33007e-05         1          
10          18           20.0014             4.27934e-05         0          
10          19           21.0012             0.000119119         0          

11          0            1.8694              1.59512e-06         1          
11          1            3.00048             6.30683e-06         1          
11          2            4.01771             2.52446e-05         1          
11          3            5.01681             3.44291e-06         1          
11          4            6.01352             8.80137e-06         1          
11          5            7.01061             2.04753e-05         1          
11          6            8.00839             1.93465e-06         1          
11          7            9.00673             7.15391e-06         1          
11          8            10.0055             1.22246e-05         1          
11          9            11.0045             6.00871e-06         1          
11          10           12.0038             5.39913e-06         1          
11          11           13.0033             2.84935e-05         1          
11          12           14.0028             5.68878e-06         1          
11          13           15.0024             5.81471e-06         1          
11          14           16.0021             5.33847e-06         1          
11          15           17.0019             2.34e-05            1          
11          16           18.0017             3.10303e-05         1          
11          17           19.0015             1.33007e-05         1          
11          18           20.0014             1.28321e-05         1          
11          19           21.0012             4.0193e-05          0          

12          0            1.8694              1.59512e-06         1          
12          1            3.00048             6.30683e-06         1          
12          2            4.01771             2.52446e-05         1          
12          3            5.01681             3.44291e-06         1          
12          4            6.01352             8.80137e-06         1          
12          5            7.01061             2.04753e-05         1          
12          6            8.00839             1.93465e-06         1          
12          7            9.00673             7.15391e-06         1          
12          8            10.0055             1.22246e-05         1          
12          9            11.0045             6.00871e-06         1          
12          10           12.0038             5.39913e-06         1          
12          11           13.0033             2.84935e-05         1          
12          12           14.0028             5.68878e-06         1          
12          13           15.0024             5.81471e-06         1          
12          14           16.0021             5.33847e-06         1          
12          15           17.0019             2.34e-05            1          
12          16           18.0017             3.10303e-05         1          
12          17           19.0015             1.33007e-05         1          
12          18           20.0014             1.28321e-05         1          
12          19           21.0012             1.42982e-05         1          

> all of required 20 eigenpairs converged! <
LOBPCG total time:                 19.0087
LOBPCG time for avec:              2.53901
LOBPCG time for ortho:             14.2954
LOBPCG time for Rayleigh-Ritz:     0.126575
ok! converged 
------- final -------
LOBPCG eigenvalues = 
1.8694 
3.00048
4.01771
5.01681
6.01352
7.01061
8.00839
9.00673
10.0055
11.0045
12.0038
13.0033
14.0028
15.0024
16.0021
17.0019
18.0017
19.0015
20.0014
21.0012
